results_matyas = [
0.0100708 0.00976562 3.95812e-006;
-0.0762939 -0.0827026 0.000263067;
0 0 0;
0.00244141 0.00213623 2.32831e-007;
-0.043335 -0.039978 7.22278e-005;
-0.00518799 -0.00518799 1.07661e-006;
-0.00305176 -0.00335693 4.33996e-007;
-0.307007 -0.332642 0.00425579;
0.00244141 0.00274658 2.92435e-007;
0 0 0;
-0.0396729 -0.00915527 0.000256673;
-0.156555 -0.144653 0.000942679;
-0.00152588 -0.00152588 9.31323e-008;
-0.00488281 -0.00518799 1.03749e-006;
-0.00549316 -0.00579834 1.29826e-006;
-0.00274658 -0.00274658 3.01749e-007;
-0.000305176 -0.000305176 3.72529e-009;
0.00213623 0.00244141 2.32831e-007;
-0.00976562 -0.0112915 5.0161e-006;
-0.0784302 -0.0723267 0.000236589;
0 0 0;
0.0112915 0.012207 5.73136e-006;
-0.0115967 -0.0125122 6.02193e-006;
-0.0100708 -0.0100708 4.05684e-006;
0.0421143 0.0390625 6.8225e-005;
0 -0.000305176 2.42144e-008;
-0.00274658 -0.00274658 3.01749e-007;
-0.0393677 -0.0369263 5.96978e-005;
-0.00152588 0.00488281 1.03805e-005;
0.00244141 0.00213623 2.32831e-007;
0.00976562 -0.00305176 4.15221e-005;
-0.103149 -0.195618 0.00303021;
0.0692749 0.0970459 0.000469433;
0.00213623 0.00274658 3.31551e-007;
0.0680542 0.0805664 0.00026002;
-0.0106812 -0.0100708 4.39957e-006;
0.00976562 0.0088501 3.675e-006;
0.0170898 0.0149536 1.14087e-005;
-0.0741577 -0.0784302 0.000237394;
-0.012207 -0.0131226 6.62543e-006;
-0.0125122 -0.0115967 6.02193e-006;
-0.0198364 -0.0186157 1.51582e-005;
-0.00488281 -0.00518799 1.03749e-006;
0.15625 0.144348 0.000939006;
-0.0198364 -0.0198364 1.57394e-005;
-0.00488281 -0.00518799 1.03749e-006;
-0.176086 -0.161133 0.00119307;
0.000305176 0.000305176 3.72529e-009;
-0.000915527 -0.000915527 3.35276e-008;
0.0292969 0.0296021 3.47141e-005;
-0.00946045 -0.0100708 3.90783e-006;
0.0012207 0.0012207 5.96046e-008;
0 0 0;
-0.106812 -0.0787354 0.000541344;
0.00488281 0.00396729 9.9279e-007;
